Profile ID,Organization Name,Membership Level Name,Primary Listing Category,Profile County,Resolved County,Profile Zip Code,is_active,is_dup_by_address,is_additional_listing_tier,is_non_covered_category,is_in_county,is_tier_a,is_tier_b
15,"Ackerman Wrecker Service, Inc.",Basic Membership,Automotive,Bibb,Bibb,31206,True,False,False,False,True,True,True
18,Active Imaging Services LLC,Basic Membership,"Office Supplies, Furnishings & Equipment",Bibb,Bibb,31216,True,False,False,False,True,True,True
32,"Air Compressor Sales, Inc.",Basic Membership,"Industrial, Manufacturing & Logistics",,Bibb (zip-inferred),31220,True,False,False,False,True,True,True
35,Wesley Glen Ministries,Key Stakeholder,Non-Profit Organizations,Bibb,Bibb,31210,True,False,False,False,True,True,True
37,"Akridge Realty, Inc.",Basic Membership,Real Estate,Bibb,Bibb,31206,True,False,False,False,True,True,True
55,American Red Cross of Central Georgia,Basic Membership,Non-Profit Organizations,Bibb,Bibb,31210,True,False,False,False,True,True,True
56,American Service Industries,Business Catalyst,Cleaning & Janitorial Services,Bibb,Bibb,31210,True,False,False,False,True,True,True
60,"Anderson, Walker & Reichert, LLP",Basic Membership,Legal Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
61,"Andrews, Hammock, & Powell, Inc.",Business Catalyst,Construction & Building Services,Bibb,Bibb,31210,True,False,False,False,True,True,True
72,Appling Brothers Company,Business Catalyst,Construction & Building Services,Bibb,Bibb,31211,True,False,False,False,True,True,True
86,Macon Coca-Cola Bottling Co.,Community Advocate,Distribution & Wholesale,Bibb,Bibb,31206,True,False,False,False,True,True,True
88,Atlanta Gas Light Company,Community Advocate,Utilities & Internet Service Providers,Bibb,Bibb,31210,True,False,False,False,True,True,True
113,Carol Bashuk Beltone Hearing Care Center,Basic Membership,Health Care & Medical Services,Bibb,Bibb,31204,True,False,False,False,True,True,True
123,B & D Industrial,Community Advocate,"Industrial, Manufacturing & Logistics",Bibb,Bibb,31201,True,False,False,False,True,True,True
